date_received,first_initial,last_initial,zip_suffix,postmark_date,no_postmark_month_only,no_postmark_signed_date,post_type,forwarded_from_huntington_sci,notes
1/29/2025,S,C,74,1/17/2025,FALSE,,LETTER,,
1/29/2025,A,H,99,1/16/2025,FALSE,,LETTER,,
1/29/2025,E,J,30,1/24/2025,FALSE,,LETTER,,
1/29/2025,T,L,05,1/21/2025,FALSE,,LETTER,,
1/29/2025,C,H,68,1/23/2025,FALSE,,LETTER,,
1/29/2025,J,J,46,NULL,FALSE,,LETTER,,
1/29/2025,W,H,70,1/21/2025,FALSE,,LETTER,,
1/29/2025,D,B,CANADA,1/20/2025,FALSE,,LETTER,,
1/29/2025,O,D,02,1/17/2025,FALSE,,LETTER,,
1/30/2025,B,NULL,41,12/31/2024,FALSE,,LETTER,,
1/30/2025,I,M,24,1/3/2025,FALSE,,LETTER,,
1/30/2025,M,H,56,12/30/2024,FALSE,,LETTER,,
1/30/2025,C,D,88,12/31/2024,FALSE,,LETTER,,
1/30/2025,J,R,10,1/2/2025,FALSE,,LETTER,,
1/30/2025,C,M,CANADA,12/28/2024,FALSE,,LETTER,,
1/30/2025,K,C,13,1/3/2025,FALSE,,LETTER,,
1/30/2025,D,D,05,1/2/2025,FALSE,,LETTER,,
1/30/2025,M,H,48,12/31/2024,FALSE,,LETTER,,
1/31/2025,A,C,38,1/2/2025,FALSE,,LETTER,,
1/31/2025,F,C,26,12/24/2024,FALSE,,LETTER,,
1/31/2025,S,S,44,NULL,FALSE,,LETTER,,
1/31/2025,A,L,25,12/30/2024,FALSE,,LETTER,,
1/31/2025,G,P,06,12/30/2024,FALSE,,LETTER,,
1/31/2025,NULL,NULL,NULL,12/31/2024,FALSE,,LETTER,,
1/31/2025,A,M,07,12/30/2024,FALSE,,LETTER,,
1/31/2025,N,N,23,12/28/2024,FALSE,,LETTER,,
1/31/2025,C,P,20,12/30/2024,FALSE,,LETTER,,
1/31/2025,R,O,05,12/31/2024,FALSE,,LETTER,,
2/3/2025,K,G,60,1/24/2025,FALSE,,LETTER,,
2/4/2025,C,F,NULL,null,FALSE,,LETTER,,
2/4/2025,M,C,ITALY,NULL,FALSE,,LETTER,,
2/4/2025,E,K,27,null,FALSE,,LETTER,,
2/4/2025,S,S,44,1/24/2025,FALSE,,LETTER,,
2/4/2025,J,H,29,2/1/2025,FALSE,,LETTER,,
2/4/2025,L,W,48,1/6/2025,FALSE,,LETTER,,
2/5/2025,E,P,41,12/31/2024,FALSE,,LETTER,,
2/5/2025,K,W,67,12/31/2024,FALSE,,LETTER,,
2/5/2025,M,E,05,12/30/2024,FALSE,,LETTER,,
2/5/2025,S,B,69,12/27/2024,FALSE,,LETTER,,
2/5/2025,H,C,35,12/31/2024,FALSE,,LETTER,,
2/5/2025,L,H,08,12/31/2024,FALSE,,LETTER,,
2/5/2025,M,E,93,12/30/2024,FALSE,,LETTER,,
2/5/2025,S,K,67,12/31/2024,FALSE,,LETTER,,
2/5/2025,H,L,44,12/30/2024,FALSE,,LETTER,,
2/5/2025,L,S,16,12/31/2024,FALSE,,LETTER,,
2/5/2025,M,L,54,1/2/2025,FALSE,,LETTER,,
2/5/2025,S,L,23,1/31/2025,FALSE,,LETTER,,
2/5/2025,K,D,19,12/30/2024,FALSE,,LETTER,,
2/5/2025,M,A,07,12/30/2024,FALSE,,LETTER,,
2/5/2025,P,V,03,12/30/2024,FALSE,,LETTER,,
2/6/2025,A,E,01,12/30/2024,FALSE,,LETTER,,
2/6/2025,M,R,16,2/3/2025,FALSE,,LETTER,,
2/6/2025,V,C,63,12/31/2024,FALSE,,LETTER,,
2/6/2025,A,G,49,12/31/2024,FALSE,,LETTER,,
2/6/2025,M,S,SWEDEN,1/27/2025,FALSE,,LETTER,,
2/6/2025,V,P,60,NULL,FALSE,,LETTER,,
2/6/2025,C,R,85,12/31/2024,FALSE,,LETTER,,
2/6/2025,N,L,02,12/30/2024,FALSE,,LETTER,,
2/6/2025,V,W,THAILAND,1/30/2025,FALSE,,LETTER,,
2/6/2025,D,O,05,2/3/2025,FALSE,,LETTER,,
2/6/2025,T,H,26,12/31/2024,FALSE,,LETTER,,
2/7/2025,A,H,01,2/3/2025,FALSE,,LETTER,,
2/7/2025,I,W,70,1/30/2025,FALSE,,LETTER,,
2/7/2025,L,NULL,11,1/31/2025,FALSE,,LETTER,,
2/7/2025,M,S,CANADA,2/3/2025,FALSE,,LETTER,,
